TaskNumber;N;FuncNumber;eps;r;dist;radius;num_minima;min;IsSolveAGP;timeAGP;IterAGP;
32; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 22.696000; 82184; 
33; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 52.923000; 130158; 
34; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 155.420000; 233746; 
35; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 11.864000; 57220; 
36; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 8.234000; 49553; 
37; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 214.544000; 257763; 
38; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 0; 3337.132000; 1000000; 
39; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 1.117000; 15026; 
3; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 83.670000; 164194; 
40; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 0.031000; 1300; 
41; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 148.394000; 227097; 
42; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 1.699000; 25929; 
43; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 51.254000; 132488; 
44; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 659.576000; 452041; 
45; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 0.605000; 15393; 
46; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 25.566000; 96522; 
47; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 53.365000; 133965; 
48; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 156.157000; 219417; 
49; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 32.872000; 110388; 
4; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 81.265000; 163125; 
50; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 7.535000; 47357; 
51; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 50.294000; 124673; 
52; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 1769.993000; 466033; 
53; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 191.590000; 248020; 
54; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 46.932000; 122494; 
55; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 12.172000; 68648; 
56; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 680.183000; 453438; 
57; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 238.471000; 273463; 
58; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 137.526000; 142319; 
59; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 5.092000; 44174; 
5; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 321.831000; 322110; 
60; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 135.197000; 217690; 
61; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 403.218000; 358348; 
62; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 176.798000; 233567; 
63; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 15.300000; 74952; 
64; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 51.089000; 132982; 
65; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 291.856000; 308782; 
66; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 0.039000; 3248; 
67; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 21.469000; 79732; 
68; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 13.749000; 72908; 
69; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 2.467000; 29864; 
6; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 40.223000; 113985; 
70; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 8.670000; 51403; 
71; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 27.938000; 94721; 
72; 5; 1; 0.030000; 5.600000; 0.660000; 0.200000; 10; -1.000000; 1; 56.878000; 131489; 
